test,subject,expected,actual,result,comments
SAVR7,ollama.exe (PID 3848) (log),conf 0.9-0.95,0.95,PASS,
SAVR7,M365Copilot.exe (PID 4584) (log),conf 0.9-0.95,0.95,PASS,
SAVR7,ollama.exe (JSON),"conf 0.9-0.95, service_type=LocalModel",conf=0.95 service_type=LocalModel,PASS,
SAVR7,M365Copilot.exe (JSON),present in detected_agents.json,absent,FAIL,detected in log (conf 0.95) but not persisted to detected_agents.json
SAVR7,python.exe (PID 10340) library detection (log),conf 0.8-0.95,0.9,PASS,
SAVR7,python.exe library detection (JSON),"conf 0.8-0.95, loaded_ai_libraries non-empty","conf=0.90 libraries=[{'lib_name': 'c10.dll', 'lib_path': 'C:\\Users\\Nishant Suresh\\AppData\\Local\\Python\\pythoncore-3.14-64\\Lib\\site-packages\\torch\\lib\\c10.dll', 'lib_sha256': 'e8a06cfc75e1482ca492fb3a3c67e9a967b18797f39a736bcbab8a93364e2107'}, {'lib_name': 'libiomp5md.dll', 'lib_path': 'C:\\Users\\Nishant Suresh\\AppData\\Local\\Python\\pythoncore-3.14-64\\Lib\\site-packages\\torch\\lib\\libiomp5md.dll', 'lib_sha256': 'ee527c978999653eb18edc3ef372b4e95d4ad9a7691b6d08817be9d38c7d0a02'}, {'lib_name': 'libiompstubs5md.dll', 'lib_path': 'C:\\Users\\Nishant Suresh\\AppData\\Local\\Python\\pythoncore-3.14-64\\Lib\\site-packages\\torch\\lib\\libiompstubs5md.dll', 'lib_sha256': '6920b610c0bd16b3acfc247791e986bfc36f247994ef0f6713fbbe1fb0e49214'}, {'lib_name': 'shm.dll', 'lib_path': 'C:\\Users\\Nishant Suresh\\AppData\\Local\\Python\\pythoncore-3.14-64\\Lib\\site-packages\\torch\\lib\\shm.dll', 'lib_sha256': 'd8d2b667383605dbdd2e15da16afcf6d35e4657d3db53c4f786352f8608b710e'}, {'lib_name': 'torch_cpu.dll', 'lib_path': 'C:\\Users\\Nishant Suresh\\AppData\\Local\\Python\\pythoncore-3.14-64\\Lib\\site-packages\\torch\\lib\\torch_cpu.dll', 'lib_sha256': '(skipped-large-file)'}, {'lib_name': 'uv.dll', 'lib_path': 'C:\\Users\\Nishant Suresh\\AppData\\Local\\Python\\pythoncore-3.14-64\\Lib\\site-packages\\torch\\lib\\uv.dll', 'lib_sha256': 'fa569e682fc5fb7a8eb94c6829af9f30a569748dbbc6bce39735d48bc960bcf8'}, {'lib_name': 'torch.dll', 'lib_path': 'C:\\Users\\Nishant Suresh\\AppData\\Local\\Python\\pythoncore-3.14-64\\Lib\\site-packages\\torch\\lib\\torch.dll', 'lib_sha256': 'd567647b549f2c1d35f4174b0bb3759c861f52c43c4330521e6aade43e6ebc00'}, {'lib_name': 'torch_global_deps.dll', 'lib_path': 'C:\\Users\\Nishant Suresh\\AppData\\Local\\Python\\pythoncore-3.14-64\\Lib\\site-packages\\torch\\lib\\torch_global_deps.dll', 'lib_sha256': '783f45e66e8268470b94cdc6490c8ee07299b5a9a588b71d53c04673cc039102'}, {'lib_name': 'torch_python.dll', 'lib_path': 'C:\\Users\\Nishant Suresh\\AppData\\Local\\Python\\pythoncore-3.14-64\\Lib\\site-packages\\torch\\lib\\torch_python.dll', 'lib_sha256': '72e2d8800442e7918ff53a7633c5d7f725be20cfd2f469c5aa542f33a82b4e1f'}, {'lib_name': '_C.cp314-win_amd64.pyd', 'lib_path': 'C:\\Users\\Nishant Suresh\\AppData\\Local\\Python\\pythoncore-3.14-64\\Lib\\site-packages\\torch\\_C.cp314-win_amd64.pyd', 'lib_sha256': 'c89d9767b1e319885898b0ce9d8b3449033c5c89c5cb3033a1b0ff9d2565670d'}]",PASS,
SAVR7,exclusions check,no system_processes in detected_agents.json,0 excluded processes found (36 checked),PASS,
SAVR7,minimum threshold check,all JSON entries >= 0.5,all 2 agent(s) above threshold,PASS,
SAVR14,PID 10340 (httpbin fixture) -> httpbin.org,"bytes_out>0, bytes_in>0, rtt>0",bytes_out=823 bytes_in=4320 rtt=0ms,FAIL,bytes non-zero on 4/10 snapshot(s) but rtt=0ms on all. RTT not being computed (known defect)
SAVR13,scan interval,"short gaps present, no poll-range gaps","6 gap(s): 0 short (<5s), 6 poll-range (25-40s), 0 anomalous (>40s), 0 other (5-25s)",FAIL,poll loop -- no event-driven scans detected -- 7 scans observed
